ENSG00000144713
ENSG00000132341
ENSG00000100462
ENSG00000118508
ENSG00000148498
ENSG00000161888
ENSG00000171824
ENSG00000164167
ENSG00000167460
ENSG00000131844
ENSG00000182979
ENSG00000073111
ENSG00000174156
ENSG00000175198
ENSG00000152240
ENSG00000099956
ENSG00000204969
ENSG00000175792
ENSG00000113068
ENSG00000213214
ENSG00000153779
ENSG00000163636
ENSG00000125630
ENSG00000113810
ENSG00000100297
ENSG00000137100
ENSG00000168461
ENSG00000169446
ENSG00000120438
ENSG00000152082
ENSG00000198798
ENSG00000288867
ENSG00000113552
ENSG00000197958
ENSG00000131966
ENSG00000180138
ENSG00000244122
ENSG00000172661
ENSG00000134308
ENSG00000100316
ENSG00000070770
ENSG00000136897
ENSG00000109832
ENSG00000122026
ENSG00000171453
ENSG00000182220
ENSG00000183751
ENSG00000147601
ENSG00000110107
ENSG00000102054
ENSG00000100934
ENSG00000124260
ENSG00000104872
ENSG00000084463
ENSG00000105568
ENSG00000100804
ENSG00000138029
ENSG00000147044
ENSG00000136875
ENSG00000111237
ENSG00000054118
ENSG00000204569
ENSG00000101193
ENSG00000145425
ENSG00000087191
ENSG00000132141
ENSG00000135972
ENSG00000204962
ENSG00000188647
ENSG00000131876
ENSG00000196616
ENSG00000075914
ENSG00000198681
ENSG00000105193
ENSG00000171863
ENSG00000166477
ENSG00000108671
ENSG00000166949
ENSG00000124209
ENSG00000166913
ENSG00000132676
ENSG00000137713
ENSG00000115268
ENSG00000129932
ENSG00000182187
ENSG00000198242
ENSG00000092094
ENSG00000198077
ENSG00000172239
ENSG00000143882
ENSG00000092036
ENSG00000088038
ENSG00000283889
ENSG00000117751
ENSG00000184203
ENSG00000101266
ENSG00000131503
ENSG00000166351
ENSG00000161057
ENSG00000250120
ENSG00000142534
ENSG00000143256
ENSG00000096401
ENSG00000138592
ENSG00000259494
ENSG00000168002
ENSG00000244067
ENSG00000175387
ENSG00000050327
ENSG00000137843
ENSG00000231500
ENSG00000204965
ENSG00000125633
ENSG00000145741
ENSG00000008838
ENSG00000130561
ENSG00000147403
ENSG00000113575
ENSG00000270601
ENSG00000101132
ENSG00000153201
ENSG00000155849
ENSG00000166441
ENSG00000161203
ENSG00000122140
ENSG00000147677
ENSG00000076053
ENSG00000212710
ENSG00000250565
ENSG00000146918
ENSG00000131467
ENSG00000008018
ENSG00000132383
ENSG00000242515
ENSG00000111229
ENSG00000151914
ENSG00000114054
ENSG00000130939
ENSG00000134987
ENSG00000122406
ENSG00000108559
ENSG00000175390
ENSG00000166508
ENSG00000087460
ENSG00000083845
ENSG00000248144
ENSG00000149100
ENSG00000161800
ENSG00000134717
ENSG00000178982
ENSG00000241484
ENSG00000021776
ENSG00000067606
ENSG00000253910
ENSG00000010017
ENSG00000196498
ENSG00000166847
ENSG00000226784
ENSG00000178896
